Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20161001	0.4982698879	0.138	0.0	8.7	1.29	2.27	0.0	0.00	92.7	0.0	0.0	6.3	0.000	0.000	0.4982698879	0.496	0.002
20161002	0.4614975701	0.170	0.0	9.8	0.94	1.68	0.0	0.00	91.7	0.0	0.0	5.8	0.000	0.000	0.4614975701	0.460	0.002
20161003	0.4775532709	0.207	4.3	11.7	1.08	1.91	0.0	0.00	94.3	0.7	0.0	6.0	0.000	0.000	0.4775532709	0.476	0.002
20161004	0.4423098395	0.195	0.0	11.6	1.09	1.90	0.0	0.00	93.2	0.0	0.0	5.6	0.000	0.000	0.4423098395	0.441	0.002
20161005	0.4096673733	0.163	0.0	12.1	1.30	2.30	0.0	0.00	91.9	0.0	0.0	5.1	0.000	0.000	0.4096673733	0.408	0.002
20161006	0.3827784543	0.156	0.3	12.7	1.55	2.77	0.0	0.00	90.6	0.0	0.0	4.8	0.000	0.000	0.3827784543	0.381	0.001
20161007	0.3577244706	0.139	0.3	15.1	1.12	2.04	0.0	0.00	89.7	0.0	0.0	4.5	0.000	0.000	0.3577244706	0.356	0.001
20161008	0.3313244047	0.135	0.0	13.7	0.98	1.80	0.0	0.00	88.8	0.0	0.0	4.2	0.000	0.000	0.3313244047	0.330	0.001
20161009	0.3068726636	0.140	0.0	8.0	0.64	1.19	0.0	0.00	88.1	0.0	0.0	3.9	0.000	0.000	0.3068726636	0.306	0.001
20161010	0.2842254610	0.140	0.0	4.4	1.11	2.07	0.0	0.00	87.0	0.0	0.0	3.6	0.000	0.000	0.284225461	0.283	0.001
20161011	0.2632496220	0.142	0.0	8.4	1.14	2.16	0.0	0.00	85.9	0.0	0.0	3.3	0.000	0.000	0.263249622	0.262	0.001
20161012	0.2438217999	0.129	0.0	12.7	1.22	2.34	0.0	0.00	84.7	0.0	0.0	3.1	0.000	0.000	0.2438217999	0.243	0.001
20161013	0.2388020684	0.125	1.5	9.8	0.82	1.58	0.0	0.00	85.2	0.2	0.0	3.0	0.000	0.000	0.2388020684	0.238	0.001
20161014	0.2211784758	0.136	0.0	4.7	0.90	1.74	0.0	0.00	84.3	0.0	0.0	2.8	0.000	0.000	0.2211784758	0.220	0.001
20161015	0.2048555042	0.132	0.0	5.8	1.11	2.16	0.0	0.00	83.2	0.0	0.0	2.6	0.000	0.000	0.2048555042	0.204	0.001
20161016	0.2311379110	0.158	4.8	10.2	1.09	2.11	0.0	0.00	86.3	0.6	0.0	2.9	0.000	0.000	0.231137911	0.230	0.001
20161017	0.2168110498	0.221	0.3	14.3	1.20	2.30	0.0	0.00	85.4	0.0	0.0	2.7	0.000	0.000	0.2168110498	0.216	0.001
20161018	0.2008103943	0.168	0.0	13.1	0.56	1.09	0.0	0.00	84.8	0.0	0.0	2.5	0.000	0.000	0.2008103943	0.200	0.001
20161019	0.1902915193	0.186	0.5	11.6	1.04	2.01	0.0	0.00	84.2	0.1	0.0	2.4	0.000	0.000	0.1902915193	0.190	0.001
