Date	pH	Cl-	DOC	CO2(aq)	SOC	Decomp	X-
20160101	4	1.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160102	4.01	1.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160103	4.01	1.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160104	4.02	1.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160105	4.02	1.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160106	4.02	1.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160107	4.03	1.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160108	4.03	1.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160109	4.03	1.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160110	4.035	1.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160111	4.038	1.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160112	4.041	1.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160113	4.044	1.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160114	4.047	1.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160115	4.05	1.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160116	4.053	1.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160117	4.056	1.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160118	4.059	1.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160119	4.062	1.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160120	4.065	1.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160121	4.068	2.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160122	4.071	2.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160123	4.074	2.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160124	4.077	2.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160125	4.08	2.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160126	4.083	2.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160127	4.086	2.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160128	4.089	2.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160129	4.092	2.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160130	4.095	2.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160131	4.098	2.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160201	4.101	2.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160202	4.104	2.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160203	4.107	2.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160204	4.11	2.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160205	4.113	2.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
