TIME           	H+_inf         	Cl-_inf        	DOC_inf        	HCO3-_inf      	H+_UZ          	Cl-_UZ         	DOC_UZ         	HCO3-_UZ       	X-_UZ          	SOC_UZ         	OH-_UZ         	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	DOC_LZ         	HCO3-_LZ       	X-_LZ          	SOC_LZ         	OH-_LZ         	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	DOC_riv        	HCO3-_riv      	X-_riv         	SOC_riv        	OH-_riv        	CO2(aq)_riv    	XDOC_riv       	SOC_rate_UZ            	SOC_rate_LZ            
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             
19831001       	2.75423e-05    	2e-05          	2e-05          	2e-06          	2.54099e-05    	1.82844e-05    	1.90769e-05    	1.1671e-07     	0.0132496      	0.0499996      	4.02571e-10    	6.48432e-06    	4.00601e-07    	2.76421e-05    	1.99555e-05    	1.65876e-05    	3.72666e-08    	0.130907       	0.0474998      	3.70062e-10    	2.2524e-06     	3.44148e-06    	2.76673e-05    	2e-05          	1.9171e-05     	5.28268e-10    	9.9997e-21     	1e-20          	3.69722e-10    	3.1958e-08     	3.03831e-25    	-4.00868e-05           	-1.66541e-06           
19831002       	2.77111e-05    	2.00739e-05    	2.00739e-05    	2.00739e-06    	2.54628e-05    	1.83316e-05    	1.91651e-05    	1.19519e-07    	0.0132496      	0.0499993      	4.01545e-10    	6.65742e-06    	4.02453e-07    	2.76813e-05    	1.99838e-05    	1.66128e-05    	3.74023e-08    	0.130907       	0.0474997      	3.69534e-10    	2.26384e-06    	3.44671e-06    	2.56654e-05    	1.85518e-05    	1.86784e-05    	1.81992e-09    	9.9997e-21     	1e-20          	3.98395e-10    	1.02174e-07    	2.96025e-25    	-3.46988e-05           	-1.68865e-06           
19831003       	2.79579e-05    	2.00829e-05    	2.00829e-05    	2.00829e-06    	2.58678e-05    	1.86564e-05    	1.99111e-05    	1.48592e-07    	0.0132496      	0.0499988      	3.95262e-10    	8.40838e-06    	4.18118e-07    	2.76022e-05    	1.99255e-05    	1.6588e-05     	3.92596e-08    	0.130907       	0.0474994      	3.70595e-10    	2.36945e-06    	3.44157e-06    	2.57621e-05    	1.86308e-05    	1.87029e-05    	1.82467e-09    	9.9997e-21     	1e-20          	3.96908e-10    	1.02824e-07    	2.96413e-25    	-4.16345e-05           	-2.30598e-06           
19831004       	2.8155e-05     	2.01761e-05    	2.01761e-05    	2.01761e-06    	2.54433e-05    	1.83542e-05    	1.96813e-05    	1.55274e-07    	0.0132496      	0.0499985      	4.01895e-10    	8.64146e-06    	4.13292e-07    	2.76408e-05    	1.99536e-05    	1.66132e-05    	3.9401e-08     	0.130907       	0.0474992      	3.70072e-10    	2.38134e-06    	3.44679e-06    	2.60987e-05    	1.89159e-05    	1.92318e-05    	2.17342e-09    	9.9997e-21     	1e-20          	3.91819e-10    	1.24068e-07    	3.04794e-25    	-3.69269e-05           	-2.30597e-06           
19831005       	3.10334e-05    	1.89782e-05    	1.89782e-05    	1.89782e-06    	3.52269e-05    	2.40664e-05    	2.56868e-05    	1.41505e-07    	0.0132495      	0.0499978      	2.90251e-10    	1.09043e-05    	5.39397e-07    	2.75979e-05    	1.99169e-05    	1.65939e-05    	4.02852e-08    	0.130907       	0.0474989      	3.7065e-10     	2.43098e-06    	3.4428e-06     	2.5589e-05     	1.85604e-05    	1.92859e-05    	2.4632e-09     	9.99969e-21    	1e-20          	3.99581e-10    	1.37878e-07    	3.05652e-25    	-6.6652e-05            	-2.57546e-06           
19831006       	3.12737e-05    	1.90148e-05    	1.90148e-05    	1.90148e-06    	2.67984e-05    	1.82473e-05    	1.97836e-05    	1.61826e-07    	0.0132496      	0.0499971      	3.82211e-10    	9.46994e-06    	4.1544e-07     	2.76399e-05    	1.99442e-05    	1.66e-05       	3.89676e-08    	0.130907       	0.0474987      	3.70084e-10    	2.35507e-06    	3.44407e-06    	3.432e-05      	2.36433e-05    	2.47598e-05    	1.72713e-09    	9.99961e-21    	1e-20          	2.98399e-10    	1.29458e-07    	3.92401e-25    	-6.9888e-05            	-2.06312e-06           
19831007       	3.13579e-05    	1.90659e-05    	1.90659e-05    	1.90659e-06    	2.64811e-05    	1.80402e-05    	1.93452e-05    	1.46799e-07    	0.0132496      	0.0499966      	3.8617e-10     	8.50247e-06    	4.06235e-07    	2.76811e-05    	1.99707e-05    	1.66122e-05    	3.81851e-08    	0.130907       	0.0474986      	3.69535e-10    	2.31121e-06    	3.44659e-06    	2.67521e-05    	1.84455e-05    	1.94116e-05    	2.47801e-09    	9.99969e-21    	1e-20          	3.82257e-10    	1.44994e-07    	3.07645e-25    	-5.01574e-05           	-1.73486e-06           
19831008       	3.14425e-05    	1.91174e-05    	1.91174e-05    	1.91174e-06    	2.64619e-05    	1.80378e-05    	1.91144e-05    	1.31039e-07    	0.0132496      	0.0499963      	3.86425e-10    	7.58469e-06    	4.01388e-07    	2.76019e-05    	1.99102e-05    	1.65519e-05    	3.73914e-08    	0.130907       	0.0474984      	3.70599e-10    	2.25667e-06    	3.43407e-06    	2.65157e-05    	1.8304e-05     	1.89717e-05    	2.23661e-09    	9.9997e-21     	1e-20          	3.85647e-10    	1.29718e-07    	3.00673e-25    	-3.38548e-05           	-1.39885e-06           
19831009       	3.16441e-05    	1.91116e-05    	1.91116e-05    	1.91116e-06    	2.66223e-05    	1.81353e-05    	1.92873e-05    	1.35762e-07    	0.0132496      	0.049996       	3.84095e-10    	7.90573e-06    	4.05018e-07    	2.76445e-05    	1.99368e-05    	1.65795e-05    	3.78159e-08    	0.130907       	0.0474983      	3.70021e-10    	2.28586e-06    	3.4398e-06     	2.65294e-05    	1.83356e-05    	1.87069e-05    	1.96766e-09    	9.9997e-21     	1e-20          	3.85451e-10    	1.14178e-07    	2.96476e-25    	-3.05959e-05           	-1.48889e-06           
19831010       	3.17266e-05    	1.90709e-05    	1.90709e-05    	1.90709e-06    	2.65589e-05    	1.8093e-05     	1.92177e-05    	1.34065e-07    	0.0132496      	0.0499957      	3.85024e-10    	7.78806e-06    	4.03557e-07    	2.75667e-05    	1.98767e-05    	1.65291e-05    	3.77764e-08    	0.130907       	0.0474981      	3.71069e-10    	2.27702e-06    	3.42936e-06    	2.66975e-05    	1.84708e-05    	1.87829e-05    	1.97868e-09    	9.9997e-21     	1e-20          	3.83037e-10    	1.15541e-07    	2.97681e-25    	-2.45234e-05           	-1.40797e-06           
19831011       	3.36267e-05    	1.81616e-05    	1.81616e-05    	1.81616e-06    	3.67835e-05    	2.29855e-05    	2.41534e-05    	1.10475e-07    	0.0132495      	0.0499953      	2.77996e-10    	8.88844e-06    	5.072e-07      	2.7649e-05     	1.9922e-05     	1.6577e-05     	3.8558e-08     	0.130907       	0.047498       	3.69959e-10    	2.33111e-06    	3.43929e-06    	2.65683e-05    	1.83208e-05    	1.88743e-05    	2.05995e-09    	9.9997e-21     	1e-20          	3.84888e-10    	1.19708e-07    	2.9913e-25     	-4.27191e-05           	-1.6399e-06            
19831012       	3.36853e-05    	1.81933e-05    	1.81933e-05    	1.81933e-06    	2.83227e-05    	1.76704e-05    	1.887e-05      	1.29689e-07    	0.0132496      	0.0499948      	3.61657e-10    	8.02059e-06    	3.96256e-07    	2.7697e-05     	1.99464e-05    	1.65938e-05    	3.8263e-08     	0.130907       	0.0474978      	3.69323e-10    	2.31725e-06    	3.44278e-06    	3.57158e-05    	2.26614e-05    	2.33518e-05    	1.30208e-09    	9.99963e-21    	1e-20          	2.86749e-10    	1.01564e-07    	3.70089e-25    	-4.81256e-05           	-1.48824e-06           
19831013       	3.37734e-05    	1.82409e-05    	1.82409e-05    	1.82409e-06    	2.83235e-05    	1.76694e-05    	1.89106e-05    	1.32193e-07    	0.0132496      	0.0499944      	3.61089e-10    	8.18833e-06    	3.97109e-07    	2.7626e-05     	1.98847e-05    	1.65468e-05    	3.85802e-08    	0.130907       	0.0474977      	3.70275e-10    	2.33046e-06    	3.43302e-06    	2.81293e-05    	1.79517e-05    	1.85887e-05    	1.89371e-09    	9.99971e-21    	1e-20          	3.63581e-10    	1.16496e-07    	2.94603e-25    	-4.18516e-05           	-1.55073e-06           
19831014       	3.41671e-05    	1.81028e-05    	1.81028e-05    	1.81028e-06    	3.02071e-05    	1.86003e-05    	2.03113e-05    	1.55233e-07    	0.0132496      	0.0499938      	3.38574e-10    	1.02549e-05    	4.2652e-07     	2.76832e-05    	1.99125e-05    	1.65968e-05    	4.06617e-08    	0.130907       	0.0474974      	3.69505e-10    	2.46131e-06    	3.44339e-06    	2.81133e-05    	1.79641e-05    	1.85962e-05    	1.91636e-09    	9.99971e-21    	1e-20          	3.63788e-10    	1.17823e-07    	2.94722e-25    	-5.56267e-05           	-2.23914e-06           
19831015       	3.44745e-05    	1.80381e-05    	1.80381e-05    	1.80381e-06    	2.98752e-05    	1.82424e-05    	1.98454e-05    	1.49336e-07    	0.0132496      	0.0499933      	3.4245e-10     	9.75367e-06    	4.16737e-07    	2.77364e-05    	1.99388e-05    	1.66134e-05    	4.02238e-08    	0.130907       	0.0474972      	3.688e-10      	2.43946e-06    	3.44685e-06    	2.97242e-05    	1.878e-05      	1.98024e-05    	2.11461e-09    	9.99969e-21    	1e-20          	3.44171e-10    	1.37423e-07    	3.13838e-25    	-4.85273e-05           	-2.01801e-06           
19831016       	3.45644e-05    	1.80851e-05    	1.80851e-05    	1.80851e-06    	2.88387e-05    	1.75982e-05    	1.93545e-05    	1.6253e-07     	0.0132496      	0.0499929      	3.54729e-10    	1.0248e-05     	4.06429e-07    	2.76675e-05    	1.9877e-05     	1.65714e-05    	4.09452e-08    	0.130907       	0.047497       	3.69722e-10    	2.47702e-06    	3.43812e-06    	2.9418e-05     	1.85017e-05    	1.93514e-05    	2.03087e-09    	9.99969e-21    	1e-20          	3.47729e-10    	1.3063e-07     	3.06691e-25    	-4.70209e-05           	-2.20723e-06           
19831017       	3.47549e-05    	1.80171e-05    	1.80171e-05    	1.80171e-06    	3.00388e-05    	1.81838e-05    	2.00307e-05    	1.63272e-07    	0.0132496      	0.0499924      	3.4049e-10     	1.07253e-05    	4.2063e-07     	2.77217e-05    	1.99028e-05    	1.66e-05       	4.14681e-08    	0.130907       	0.0474968      	3.68992e-10    	2.51361e-06    	3.44405e-06    	2.85008e-05    	1.79845e-05    	1.88827e-05    	2.24105e-09    	9.9997e-21     	1e-20          	3.58858e-10    	1.39678e-07    	2.99262e-25    	-4.42301e-05           	-2.31695e-06           
19831018       	3.49211e-05    	1.79929e-05    	1.79929e-05    	1.79929e-06    	2.98996e-05    	1.80043e-05    	1.96081e-05    	1.48594e-07    	0.0132496      	0.0499921      	3.42148e-10    	9.71379e-06    	4.11754e-07    	2.76554e-05    	1.98428e-05    	1.65373e-05    	4.04532e-08    	0.130907       	0.0474966      	3.69881e-10    	2.4462e-06     	3.43106e-06    	2.94763e-05    	1.84984e-05    	1.94029e-05    	2.15405e-09    	9.99969e-21    	1e-20          	3.47045e-10    	1.38826e-07    	3.07506e-25    	-3.28749e-05           	-1.86799e-06           
19831019       	3.6035e-05     	1.74658e-05    	1.74658e-05    	1.74658e-06    	3.67214e-05    	2.08036e-05    	2.21704e-05    	1.1576e-07     	0.0132495      	0.0499917      	2.78575e-10    	9.29434e-06    	4.6556e-07     	2.7734e-05     	1.98785e-05    	1.65616e-05    	3.99854e-08    	0.130907       	0.0474964      	3.68827e-10    	2.42482e-06    	3.4361e-06     	2.9444e-05     	1.82706e-05    	1.91633e-05    	2.0332e-09     	9.9997e-21     	1e-20          	3.47414e-10    	1.30898e-07    	3.03709e-25    	-3.68996e-05           	-1.63748e-06           
19831020       	3.73187e-05    	1.68423e-05    	1.68423e-05    	1.68423e-06    	3.80199e-05    	2.01779e-05    	2.16784e-05    	1.17094e-07    	0.0132495      	0.0499911      	2.6935e-10     	9.7234e-06     	4.55228e-07    	2.78185e-05    	1.99117e-05    	1.65973e-05    	4.05531e-08    	0.130907       	0.0474963      	3.67711e-10    	2.46671e-06    	3.44349e-06    	3.57525e-05    	2.07148e-05    	2.16325e-05    	1.37164e-09    	9.99966e-21    	1e-20          	2.86396e-10    	1.07121e-07    	3.42841e-25    	-6.53068e-05           	-1.80435e-06           
19831021       	3.73808e-05    	1.68703e-05    	1.68703e-05    	1.68703e-06    	3.15758e-05    	1.67375e-05    	1.83029e-05    	1.35402e-07    	0.0132496      	0.0499904      	3.24344e-10    	9.33727e-06    	3.84348e-07    	2.7759e-05     	1.98468e-05    	1.65443e-05    	4.0596e-08     	0.130907       	0.0474961      	3.68505e-10    	2.46401e-06    	3.4325e-06     	3.70046e-05    	2.01543e-05    	2.12268e-05    	1.34788e-09    	9.99966e-21    	1e-20          	2.76726e-10    	1.08944e-07    	3.36412e-25    	-7.05314e-05           	-1.77854e-06           
19831022       	3.74432e-05    	1.68985e-05    	1.68985e-05    	1.68985e-06    	3.15839e-05    	1.67396e-05    	1.8382e-05     	1.39716e-07    	0.0132496      	0.0499897      	3.23903e-10    	9.64788e-06    	3.86008e-07    	2.7818e-05     	1.98666e-05    	1.65671e-05    	4.10446e-08    	0.130907       	0.0474959      	3.67719e-10    	2.49656e-06    	3.43723e-06    	3.10586e-05    	1.70582e-05    	1.81215e-05    	1.82307e-09    	9.99971e-21    	1e-20          	3.29369e-10    	1.238e-07      	2.87199e-25    	-6.27387e-05           	-1.89302e-06           
19831023       	3.75057e-05    	1.69267e-05    	1.69267e-05    	1.69267e-06    	3.15989e-05    	1.67382e-05    	1.86821e-05    	1.57217e-07    	0.0132496      	0.0499891      	3.2375e-10     	1.08615e-05    	3.92311e-07    	2.78776e-05    	1.98863e-05    	1.6601e-05     	4.23602e-08    	0.130907       	0.0474957      	3.66935e-10    	2.58208e-06    	3.44427e-06    	3.10068e-05    	1.71144e-05    	1.81644e-05    	1.85901e-09    	9.99971e-21    	1e-20          	3.29919e-10    	1.2603e-07     	2.87879e-25    	-6.43638e-05           	-2.31448e-06           
19831024       	3.75371e-05    	1.69409e-05    	1.69409e-05    	1.69409e-06    	3.15749e-05    	1.67361e-05    	1.8336e-05     	1.37271e-07    	0.0132496      	0.0499887      	3.23998e-10    	9.47629e-06    	3.85043e-07    	2.78164e-05    	1.98216e-05    	1.65316e-05    	4.11104e-08    	0.130907       	0.0474955      	3.67746e-10    	2.50037e-06    	3.42987e-06    	3.09388e-05    	1.71793e-05    	1.83906e-05    	2.05584e-09    	9.99971e-21    	1e-20          	3.30645e-10    	1.39069e-07    	2.91463e-25    	-4.16739e-05           	-1.78988e-06           
19831025       	3.75999e-05    	1.69693e-05    	1.69693e-05    	1.69693e-06    	3.15566e-05    	1.67346e-05    	1.80661e-05    	1.21678e-07    	0.0132496      	0.0499884      	3.24184e-10    	8.395e-06      	3.79374e-07    	2.78731e-05    	1.98411e-05    	1.65348e-05    	4.00471e-08    	0.130907       	0.0474953      	3.66992e-10    	2.44071e-06    	3.43053e-06    	3.08411e-05    	1.72404e-05    	1.80411e-05    	1.77628e-09    	9.99971e-21    	1e-20          	3.3169e-10     	1.19779e-07    	2.85924e-25    	-2.61786e-05           	-1.32856e-06           
19831026       	3.78272e-05    	1.6874e-05     	1.6874e-05     	1.6874e-06     	3.36795e-05    	1.76014e-05    	1.93069e-05    	1.36717e-07    	0.0132496      	0.0499881      	3.03749e-10    	1.00672e-05    	4.05431e-07    	2.78231e-05    	1.97801e-05    	1.65099e-05    	4.20238e-08    	0.130907       	0.0474952      	3.67655e-10    	2.55656e-06    	3.42536e-06    	3.0801e-05     	1.7283e-05     	1.77958e-05    	1.56952e-09    	9.99972e-21    	1e-20          	3.32122e-10    	1.05699e-07    	2.82037e-25    	-3.59956e-05           	-1.98481e-06           
19831027       	3.81212e-05    	1.6772e-05     	1.6772e-05     	1.6772e-06     	3.44487e-05    	1.77065e-05    	1.92749e-05    	1.26663e-07    	0.0132496      	0.0499877      	2.97069e-10    	9.53664e-06    	4.04759e-07    	2.78909e-05    	1.98031e-05    	1.65245e-05    	4.16163e-08    	0.130907       	0.047495       	3.66757e-10    	2.53797e-06    	3.4284e-06     	3.25485e-05    	1.79781e-05    	1.88233e-05    	1.66806e-09    	9.9997e-21     	1e-20          	3.14381e-10    	1.18675e-07    	2.9832e-25     	-3.26878e-05           	-1.76418e-06           
19831028       	3.83126e-05    	1.67271e-05    	1.67271e-05    	1.67271e-06    	3.23292e-05    	1.66154e-05    	1.80109e-05    	1.22207e-07    	0.0132496      	0.0499875      	3.16576e-10    	8.63414e-06    	3.78215e-07    	2.79502e-05    	1.98219e-05    	1.65315e-05    	4.08909e-08    	0.130907       	0.0474948      	3.65982e-10    	2.499e-06      	3.42985e-06    	3.31286e-05    	1.80937e-05    	1.8767e-05     	1.51154e-09    	9.9997e-21     	1e-20          	3.089e-10      	1.09446e-07    	2.97429e-25    	-2.4635e-05            	-1.42305e-06           
19831029       	3.83126e-05    	1.67271e-05    	1.67271e-05    	1.67271e-06    	3.23428e-05    	1.66213e-05    	1.80545e-05    	1.24279e-07    	0.0132496      	0.0499873      	3.16327e-10    	8.78746e-06    	3.79132e-07    	2.78929e-05    	1.97574e-05    	1.64816e-05    	4.11513e-08    	0.130907       	0.0474947      	3.66738e-10    	2.50974e-06    	3.4195e-06     	3.12748e-05    	1.73123e-05    	1.76893e-05    	1.50675e-09    	9.99972e-21    	1e-20          	3.27111e-10    	1.03026e-07    	2.8035e-25     	-2.11655e-05           	-1.44203e-06           
19831030       	3.83418e-05    	1.67105e-05    	1.67105e-05    	1.67105e-06    	3.42256e-05    	1.7361e-05     	1.90977e-05    	1.35666e-07    	0.0132496      	0.049987       	2.98926e-10    	1.0151e-05     	4.01036e-07    	2.79612e-05    	1.97788e-05    	1.65227e-05    	4.29012e-08    	0.130907       	0.0474945      	3.65836e-10    	2.62291e-06    	3.42803e-06    	3.12038e-05    	1.73513e-05    	1.76884e-05    	1.51583e-09    	9.99972e-21    	1e-20          	3.27853e-10    	1.03412e-07    	2.80335e-25    	-2.764e-05             	-2.01125e-06           
19831031       	3.83736e-05    	1.67243e-05    	1.67243e-05    	1.67243e-06    	3.24801e-05    	1.64718e-05    	1.81308e-05    	1.36223e-07    	0.0132496      	0.0499868      	3.15085e-10    	9.66995e-06    	3.80735e-07    	2.80207e-05    	1.97968e-05    	1.65333e-05    	4.25045e-08    	0.130907       	0.0474943      	3.65064e-10    	2.60416e-06    	3.43023e-06    	3.25361e-05    	1.79705e-05    	1.84486e-05    	1.55693e-09    	9.99971e-21    	1e-20          	3.14499e-10    	1.10726e-07    	2.92383e-25    	-2.26515e-05           	-1.77533e-06           
19831101       	3.84055e-05    	1.67383e-05    	1.67383e-05    	1.67383e-06    	3.24813e-05    	1.64724e-05    	1.81342e-05    	1.36336e-07    	0.0132496      	0.0499866      	3.14978e-10    	9.68123e-06    	3.80804e-07    	2.79631e-05    	1.97319e-05    	1.64798e-05    	4.24996e-08    	0.130907       	0.0474941      	3.65819e-10    	2.59848e-06    	3.41911e-06    	3.10428e-05    	1.74642e-05    	1.7654e-05     	1.57182e-09    	9.99972e-21    	1e-20          	3.29552e-10    	1.0668e-07     	2.79791e-25    	-1.83665e-05           	-1.67848e-06           
19831102       	3.84375e-05    	1.67522e-05    	1.67522e-05    	1.67522e-06    	3.24826e-05    	1.64695e-05    	1.82534e-05    	1.43248e-07    	0.0132496      	0.0499864      	3.14966e-10    	1.01725e-05    	3.83308e-07    	2.8023e-05     	1.97498e-05    	1.65031e-05    	4.31032e-08    	0.130907       	0.047494       	3.65032e-10    	2.64107e-06    	3.42396e-06    	3.07818e-05    	1.76253e-05    	1.7549e-05     	1.51016e-09    	9.99972e-21    	1e-20          	3.32342e-10    	1.01634e-07    	2.78125e-25    	-1.70995e-05           	-1.79894e-06           
19831103       	3.84695e-05    	1.67661e-05    	1.67661e-05    	1.67661e-06    	3.24906e-05    	1.64757e-05    	1.81883e-05    	1.39193e-07    	0.0132496      	0.0499863      	3.14888e-10    	9.88692e-06    	3.81942e-07    	2.79648e-05    	1.96852e-05    	1.64432e-05    	4.25833e-08    	0.130907       	0.0474938      	3.65795e-10    	2.60377e-06    	3.41152e-06    	3.04961e-05    	1.78578e-05    	1.75126e-05    	1.4904e-09     	9.99972e-21    	1e-20          	3.35454e-10    	9.93737e-08    	2.77549e-25    	-1.23037e-05           	-1.49089e-06           
19831104       	3.85305e-05    	1.67632e-05    	1.67632e-05    	1.67632e-06    	3.24975e-05    	1.64777e-05    	1.82429e-05    	1.42149e-07    	0.0132496      	0.0499862      	3.14822e-10    	1.0099e-05     	3.83088e-07    	2.80238e-05    	1.97029e-05    	1.64614e-05    	4.27985e-08    	0.130907       	0.0474937      	3.65019e-10    	2.62249e-06    	3.4153e-06     	3.01019e-05    	1.8107e-05     	1.73013e-05    	1.34833e-09    	9.99973e-21    	1e-20          	3.39841e-10    	8.87403e-08    	2.74201e-25    	-1.05307e-05           	-1.45012e-06           
19831105       	3.85305e-05    	1.67632e-05    	1.67632e-05    	1.67632e-06    	3.25073e-05    	1.64808e-05    	1.8309e-05     	1.45682e-07    	0.0132496      	0.0499861      	3.14728e-10    	1.03532e-05    	3.84477e-07    	2.80828e-05    	1.97206e-05    	1.64803e-05    	4.3066e-08     	0.130907       	0.0474935      	3.64256e-10    	2.64441e-06    	3.41922e-06    	2.96621e-05    	1.84646e-05    	1.71454e-05    	1.22915e-09    	9.99973e-21    	1e-20          	3.44876e-10    	7.97154e-08    	2.7173e-25     	-9.13883e-06           	-1.42027e-06           
19831106       	3.85975e-05    	1.67241e-05    	1.67241e-05    	1.67241e-06    	3.25061e-05    	1.64761e-05    	1.84485e-05    	1.53847e-07    	0.0132496      	0.049986       	3.14739e-10    	1.0933e-05     	3.87405e-07    	2.80255e-05    	1.96563e-05    	1.64376e-05    	4.38735e-08    	0.130907       	0.0474934      	3.65004e-10    	2.68848e-06    	3.41037e-06    	2.90989e-05    	1.89277e-05    	1.69279e-05    	1.05506e-09    	9.99973e-21    	1e-20          	3.51547e-10    	6.71268e-08    	2.68282e-25    	-9.05567e-06           	-1.58574e-06           
19831107       	3.86673e-05    	1.67157e-05    	1.67157e-05    	1.67157e-06    	3.56681e-05    	1.77388e-05    	1.97133e-05    	1.43434e-07    	0.0132496      	0.0499859      	2.86838e-10    	1.11845e-05    	4.13964e-07    	2.80963e-05    	1.96785e-05    	1.6467e-05     	4.46512e-08    	0.130907       	0.0474932      	3.6408e-10     	2.74308e-06    	3.41647e-06    	2.92278e-05    	1.87507e-05    	1.70103e-05    	1.15846e-09    	9.99973e-21    	1e-20          	3.49995e-10    	7.4032e-08     	2.69588e-25    	-1.0273e-05            	-1.74733e-06           
19831108       	3.86673e-05    	1.67157e-05    	1.67157e-05    	1.67157e-06    	3.29653e-05    	1.6383e-05     	1.84288e-05    	1.55676e-07    	0.0132496      	0.0499858      	3.10511e-10    	1.12136e-05    	3.86991e-07    	2.81566e-05    	1.96956e-05    	1.64905e-05    	4.53065e-08    	0.130907       	0.047493       	3.63304e-10    	2.78928e-06    	3.42135e-06    	3.02163e-05    	1.9117e-05     	1.74067e-05    	1.09231e-09    	9.99972e-21    	1e-20          	3.38599e-10    	7.21539e-08    	2.75871e-25    	-1.09736e-05           	-1.8598e-06            
