Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
19831001	1.463009434	1.19	0	3.3	0.43	0.64	0	0	107.6	0	7.7	80.7	0	1.261	0.202	1.354	0.109
19831002	1.262420772	1.14	0.2	3.5	0.42	0.62	0	0	107.2	0.1	6.5	80.8	0	1.06	0.202	1.161	0.101
19831003	1.120392255	1.04	0.7	7.9	0.5	0.74	0	0	107	0.5	5.8	81	0	0.918	0.203	1.025	0.096
19831004	0.992938469	0.96	0.2	7.9	0.48	0.72	0	0	106.5	0.1	4.9	81.1	0	0.79	0.203	0.902	0.091
19831005	1.582626882	1.25	15.4	9.4	0.5	0.73	0	0	111.1	10.3	12.9	81.3	0	1.379	0.204	1.455	0.128
19831006	2.000791661	1.6	0.6	6.2	0.42	0.61	0	0	110.8	0.4	11.3	81.5	0	1.797	0.204	1.847	0.154
19831007	1.746174359	1.5	0	3.7	0.36	0.52	0	0	110.5	0	9.5	81.6	0	1.542	0.204	1.606	0.14
19831008	1.499329369	1.37	0	0.5	0.29	0.41	0	0	110.2	0	8	81.8	0	1.295	0.205	1.373	0.126
19831009	1.289091459	1.3	0.7	1.4	0.29	0.42	0.6	0.86	109.9	0.1	6.7	81.9	0	1.084	0.205	1.175	0.115
19831010	1.105518571	1.27	0.5	0.5	0.04	0.37	1.1	1	109.9	0	5.5	82.1	0	0.9	0.206	1.001	0.104
19831011	1.613054296	1.22	12.7	2.7	0	0.4	0	0	114.1	9.5	12.7	82.2	0	1.407	0.206	1.477	0.136
19831012	1.947222815	1.2	0	1.3	0.25	0.35	0	0	113.9	0	10.8	82.4	0	1.741	0.206	1.79	0.157
19831013	1.674488317	1.15	0	1.8	0.24	0.33	0	0	113.6	0	9	82.5	0	1.468	0.207	1.534	0.141
19831014	1.556083636	1.42	2.4	7.1	0.28	0.4	0	0	114.1	1.7	9	82.7	0	1.349	0.207	1.422	0.134
19831015	1.511803441	1.46	1.6	5.6	0.24	0.34	0	0	114.3	1.1	8.5	82.8	0	1.304	0.207	1.381	0.131
19831016	1.361086726	1.48	0	6.8	0.23	0.33	0	0	114	0	7.1	83	0	1.153	0.208	1.239	0.122
19831017	1.22687469	1.48	1.2	7.5	0.23	0.33	0	0	114.2	0.9	6.6	83.1	0	1.019	0.208	1.113	0.114
19831018	1.141657238	1.41	0.8	4.3	0.2	0.28	0	0	114.2	0.6	5.9	83.3	0	0.933	0.209	1.033	0.109
19831019	1.443204937	1.99	8.6	2.4	0.18	0.25	0	0	116.5	6.1	10.2	83.5	0	1.234	0.209	1.319	0.125
19831020	2.17953467	3.05	11.2	3.8	0.19	0.26	0	0	119.3	8.2	15.7	83.6	0	1.97	0.209	2.019	0.161
19831021	2.362697988	3	0	3.5	0.19	0.25	0	0	119.1	0	13.3	83.8	0	2.153	0.21	2.195	0.168
19831022	2.036388234	2.45	0	4.4	0.19	0.25	0	0	118.9	0	11.3	83.9	0	1.826	0.21	1.886	0.151
19831023	1.752546645	2.11	0	7.3	0.2	0.27	0	0	118.7	0	9.5	84.1	0	1.542	0.21	1.617	0.136
19831024	1.505652241	1.84	0	3.5	0.17	0.23	0	0	118.6	0	8	84.2	0	1.295	0.211	1.383	0.122
19831025	1.290901768	1.64	0	-0.8	0.13	0.18	0	0	118.4	0	6.6	84.3	0	1.08	0.211	1.18	0.111
19831026	1.201074603	1.54	1.9	4.9	0.17	0.22	0	0	118.8	1.4	6.6	84.5	0	0.989	0.212	1.095	0.106
19831027	1.226348594	1.48	2.3	3.2	0.15	0.2	0	0	119.2	1.7	6.9	84.6	0	1.014	0.212	1.12	0.106
19831028	1.147912289	1.35	1.3	0.1	0.12	0.17	1.2	1	119.1	0	5.7	84.8	0	0.936	0.212	1.047	0.101
19831029	0.979857455	1.3	0	0.2	0	0.16	1.2	1	119.1	0	4.7	84.9	0	0.767	0.213	0.887	0.093
19831030	0.91471784	1.19	0.3	5	0	0.19	0	0	119.5	1.1	4.7	85.1	0	0.702	0.213	0.825	0.09
19831031	0.845119661	1.11	0	3.2	0.12	0.17	0	0	119.4	0	3.8	85.2	0	0.632	0.213	0.759	0.086
19831101	0.716568712	1.01	0	2.3	0.11	0.15	0	0	119.3	0	3	85.4	0	0.503	0.214	0.637	0.08
19831102	0.6047761	0.94	0	3.3	0.11	0.15	0	0	119.2	0	2.3	85.5	0	0.391	0.214	0.531	0.074
19831103	0.507563124	0.86	0	0.5	0.09	0.12	0	0	119.1	0	1.7	85.7	0	0.293	0.215	0.439	0.068
19831104	0.423034315	0.81	0.3	0.1	0.08	0.11	0.3	1	119	0	1.2	85.8	0	0.208	0.215	0.359	0.064
