Date            Qsim    Qobs    Precipitation   Temperature     AET     PET     Snow    Snowcover       SM      Recharge        SUZ     SLZ     Q0      Q1      Q2      Qsim_rain       Qsim_snow
20160101        0.268   0.641   0.0             -1.5            0.00    1.10    2.0     1.00            162.7   0.0             0.0     1.0     0.000   0.000   0.268   0.251           0.017
20160102        0.370   0.620   0.0             -0.4            0.00    1.10    0.0     0.00            163.7   1.0             0.0     1.6     0.000   0.000   0.370   0.346           0.025
20160103        0.341   0.576   0.0             -2.0            1.00    1.00    0.0     0.00            162.7   0.0             0.0     1.3     0.000   0.000   0.341   0.318           0.023
20160104        0.273   0.540   0.0             -6.0            0.10    0.10    0.0     0.00            162.6   0.0             0.0     1.0     0.000   0.000   0.273   0.255           0.018
20160105        0.218   0.533   0.0             -0.9            0.90    0.90    0.0     0.00            161.7   0.0             0.0     0.8     0.000   0.000   0.218   0.204           0.015
20160106        0.212   0.540   0.5             2.0             0.20    0.20    0.0     0.00            161.8   0.2             0.0     0.9     0.000   0.000   0.212   0.197           0.014
20160107        0.749   0.584   7.4             4.3             0.00    0.00    0.0     0.00            165.5   3.7             0.0     3.6     0.000   0.000   0.749   0.697           0.052
20160108        0.764   0.598   0.0             1.0             0.00    0.00    0.0     0.00            165.5   0.0             0.0     2.9     0.000   0.000   0.764   0.711           0.053
20160109        0.611   0.526   0.0             -6.9            0.60    0.60    0.0     0.00            164.9   0.0             0.0     2.3     0.000   0.000   0.611   0.569           0.042
20160110        0.489   0.468   0.0             -10.8           0.60    0.60    0.0     0.00            164.3   0.0             0.0     1.9     0.000   0.000   0.489   0.455           0.034
20160111        0.391   0.490   0.0             0.7             0.80    0.80    0.0     0.00            163.5   0.0             0.0     1.5     0.000   0.000   0.391   0.364           0.027
20160112        0.313   0.468   0.0             -3.2            0.90    0.90    0.0     0.00            162.6   0.0             0.0     1.2     0.000   0.000   0.313   0.291           0.022
20160113        0.250   0.476   0.0             3.4             1.10    1.10    0.0     0.00            161.5   0.0             0.0     0.9     0.000   0.000   0.250   0.233           0.017
20160114        0.200   0.504   0.0             7.0             1.60    1.60    0.0     0.00            159.9   0.0             0.0     0.8     0.000   0.000   0.200   0.186           0.014
20160115        0.160   0.476   0.0             -1.0            0.70    0.70    0.0     0.00            159.2   0.0             0.0     0.6     0.000   0.000   0.160   0.149           0.011
20160116        0.128   0.432   0.0             -3.9            1.10    1.10    0.0     0.00            158.1   0.0             0.0     0.5     0.000   0.000   0.128   0.119           0.009
20160117        0.103   0.382   0.0             -12.5           0.40    0.40    0.0     0.00            157.7   0.0             0.0     0.4     0.000   0.000   0.103   0.095           0.007
20160118        0.082   0.375   0.0             -8.2            0.80    0.80    0.0     0.00            156.9   0.0             0.0     0.3     0.000   0.000   0.082   0.076           0.006
