Date	pH	Cl	DOC	SOC	X-
20160101	4.00	1.53E-05	1.00E-07	1.00E-10	1.00E-10
20160102	4.01	1.54E-05	1.00E-07	1.00E-10	1.00E-10
20160103	4.01	1.55E-05	1.00E-07	1.00E-10	1.00E-10
20160104	4.02	1.56E-05	1.00E-07	1.00E-10	1.00E-10
20160105	4.02	1.57E-05	1.00E-07	1.00E-10	1.00E-10
20160106	4.02	1.58E-05	1.00E-07	1.00E-10	1.00E-10
20160107	4.03	1.59E-05	1.00E-07	1.00E-10	1.00E-10
20160108	4.03	1.60E-05	1.00E-07	1.00E-10	1.00E-10
20160109	4.03	1.61E-05	1.00E-07	1.00E-10	1.00E-10
20160110	4.035	1.62E-05	1.00E-07	1.00E-10	1.00E-10
20160111	4.038	1.63E-05	1.00E-07	1.00E-10	1.00E-10
20160112	4.041	1.64E-05	1.00E-07	1.00E-10	1.00E-10
20160113	4.044	1.65E-05	1.00E-07	1.00E-10	1.00E-10
20160114	4.047	1.66E-05	1.00E-07	1.00E-10	1.00E-10
20160115	4.05	1.67E-05	1.00E-07	1.00E-10	1.00E-10
20160116	4.053	1.68E-05	1.00E-07	1.00E-10	1.00E-10
20160117	4.056	1.69E-05	1.00E-07	1.00E-10	1.00E-10
20160118	4.059	1.70E-05	1.00E-07	1.00E-10	1.00E-10
20160119	4.062	1.71E-05	1.00E-07	1.00E-10	1.00E-10
20160120	4.065	1.72E-05	1.00E-07	1.00E-10	1.00E-10
20160121	4.068	1.73E-05	1.00E-07	1.00E-10	1.00E-10
20160122	4.071	1.74E-05	1.00E-07	1.00E-10	1.00E-10
20160123	4.074	1.75E-05	1.00E-07	1.00E-10	1.00E-10
20160124	4.077	1.76E-05	1.00E-07	1.00E-10	1.00E-10
20160125	4.08	1.77E-05	1.00E-07	1.00E-10	1.00E-10
20160126	4.083	1.78E-05	1.00E-07	1.00E-10	1.00E-10
20160127	4.086	1.79E-05	1.00E-07	1.00E-10	1.00E-10
20160128	4.089	1.80E-05	1.00E-07	1.00E-10	1.00E-10
20160129	4.092	1.81E-05	1.00E-07	1.00E-10	1.00E-10
20160130	4.095	1.82E-05	1.00E-07	1.00E-10	1.00E-10
20160131	4.098	1.83E-05	1.00E-07	1.00E-10	1.00E-10
20160201	4.101	1.84E-05	1.00E-07	1.00E-10	1.00E-10
20160202	4.104	1.85E-05	1.00E-07	1.00E-10	1.00E-10
