Date	pH	Cl-	NO3-	N(plant)	N2O(soil)	soilN(s)	plantN(s)	soilDN(s)
20161001	5.225	3.22E-06	1.00E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161002	5.225	3.22E-06	1.00E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161003	5.225	3.22E-06	1.00E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161004	5.225	3.22E-06	1.00E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161005	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161006	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161007	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161008	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161009	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161010	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161011	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161012	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161013	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161014	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161015	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161016	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161017	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161018	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161019	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161020	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161021	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161022	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161023	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161024	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161025	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161026	5.47	3.22E-06	3.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161027	5.37	2.03E-06	8.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161028	5.37	2.03E-06	8.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161029	5.37	2.03E-06	8.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161030	5.37	2.03E-06	8.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161031	5.37	2.03E-06	8.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161101	5.37	2.03E-06	8.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161102	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161103	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161104	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161105	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161106	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161107	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161108	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161109	5.39	2.03E-06	1.04E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161110	6.12	8.60E-06	1.34E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161111	6.12	8.60E-06	1.34E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161112	6.12	8.60E-06	1.34E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161113	6.12	8.60E-06	1.34E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161114	6.12	8.60E-06	1.34E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161115	6.12	8.60E-06	1.34E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161116	5.34	3.72E-06	3.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161117	5.34	3.72E-06	3.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161118	5.34	3.72E-06	3.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161119	5.34	3.72E-06	3.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161120	5.34	3.72E-06	3.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161121	5.34	3.72E-06	3.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161122	5.34	3.72E-06	3.63E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161123	4.81	4.74E-06	2.26E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161124	4.81	4.74E-06	2.26E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161125	4.81	4.74E-06	2.26E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161126	4.81	4.74E-06	2.26E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161127	4.81	4.74E-06	2.26E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161128	4.81	4.74E-06	2.26E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161129	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161130	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161201	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161202	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161203	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161204	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161205	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161206	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161207	5.32	4.30E-06	8.42E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161208	5.07	1.68E-05	1.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161209	5.07	1.68E-05	1.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161210	5.07	1.68E-05	1.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161211	5.07	1.68E-05	1.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161212	5.07	1.68E-05	1.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161213	5.07	1.68E-05	1.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161214	5.3	6.32E-06	9.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161215	5.3	6.32E-06	9.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161216	5.3	6.32E-06	9.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161217	5.3	6.32E-06	9.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161218	5.3	6.32E-06	9.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161219	5.3	6.32E-06	9.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161220	5.3	6.32E-06	9.95E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161221	4.99	4.85E-06	1.06E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161222	4.99	4.85E-06	1.06E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161223	4.99	4.85E-06	1.06E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161224	4.99	4.85E-06	1.06E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161225	4.99	4.85E-06	1.06E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161226	4.99	4.85E-06	1.06E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161227	4.99	4.85E-06	1.06E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161228	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161229	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161230	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161231	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170101	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170102	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170103	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170104	5.155	4.26E-06	1.51E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170105	5.43	1.32E-05	1.47E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170106	5.43	1.32E-05	1.47E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170107	5.43	1.32E-05	1.47E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170108	5.43	1.32E-05	1.47E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170109	5.43	1.32E-05	1.47E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170110	5.43	1.32E-05	1.47E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170111	5.17	2.51E-06	2.42E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170112	5.17	2.51E-06	2.42E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170113	5.17	2.51E-06	2.42E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170114	5.17	2.51E-06	2.42E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170115	5.17	2.51E-06	2.42E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170116	5.17	2.51E-06	2.42E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170117	5.17	2.51E-06	2.42E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170118	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170119	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170120	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170121	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170122	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170123	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170124	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170125	5.06	2.51E-06	8.19E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170126	5.17	2.97E-06	6.77E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170127	5.17	2.97E-06	6.77E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170128	5.17	2.97E-06	6.77E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170129	5.17	2.97E-06	6.77E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170130	5.17	2.97E-06	6.77E-06	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170131	4.65	1.04E-05	3.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170201	4.65	1.04E-05	3.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170202	4.65	1.04E-05	3.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20170203	4.65	1.04E-05	3.62E-05	1.00E-10	1.00E-07	1.00E-10	1.00E-10	1.00E-10
