Date,DOC_M,DIC_M
10/1/2016,#N/A,#N/A
10/2/2016,#N/A,#N/A
10/3/2016,#N/A,#N/A
10/4/2016,0.00010875,0.0015807
10/5/2016,#N/A,#N/A
10/6/2016,#N/A,#N/A
10/7/2016,#N/A,#N/A
10/8/2016,#N/A,#N/A
10/9/2016,#N/A,#N/A
10/10/2016,#N/A,#N/A
10/11/2016,#N/A,#N/A
10/12/2016,0.000131667,0.0016036
10/13/2016,#N/A,#N/A
10/14/2016,#N/A,#N/A
10/15/2016,#N/A,#N/A
10/16/2016,#N/A,#N/A
10/17/2016,#N/A,#N/A
10/18/2016,0.0001275,0.0015896
10/19/2016,#N/A,#N/A
10/20/2016,#N/A,#N/A
10/21/2016,0.000904167,0.00107096
10/22/2016,0.0008325,0.000989
10/23/2016,#N/A,#N/A
10/24/2016,#N/A,#N/A
10/25/2016,#N/A,#N/A
10/26/2016,0.000151667,0.0012689
10/27/2016,#N/A,#N/A
10/28/2016,#N/A,#N/A
10/29/2016,0.000397917,0.00096725
10/30/2016,#N/A,#N/A
10/31/2016,#N/A,#N/A
11/1/2016,0.000160833,0.001173
11/2/2016,#N/A,#N/A
11/3/2016,0.000502222,0.0009764
11/4/2016,#N/A,#N/A
11/5/2016,#N/A,#N/A
11/6/2016,#N/A,#N/A
11/7/2016,#N/A,#N/A
11/8/2016,#N/A,#N/A
11/9/2016,0.00011,0.0012379
11/10/2016,#N/A,#N/A
11/11/2016,#N/A,#N/A
11/12/2016,#N/A,#N/A
11/13/2016,#N/A,#N/A
11/14/2016,#N/A,#N/A
11/15/2016,0.000208333,0.0012769
11/16/2016,#N/A,#N/A
11/17/2016,#N/A,#N/A
11/18/2016,#N/A,#N/A
11/19/2016,#N/A,#N/A
11/20/2016,#N/A,#N/A
11/21/2016,#N/A,#N/A
11/22/2016,0.000106667,0.0012389
11/23/2016,#N/A,#N/A
11/24/2016,#N/A,#N/A
11/25/2016,#N/A,#N/A
11/26/2016,#N/A,#N/A
11/27/2016,#N/A,#N/A
11/28/2016,8.92E-05,0.0010701
11/29/2016,0.0003325,0.0009174
11/30/2016,#N/A,#N/A
12/1/2016,#N/A,#N/A
12/2/2016,#N/A,#N/A
12/3/2016,#N/A,#N/A
12/4/2016,#N/A,#N/A
12/5/2016,#N/A,#N/A
12/6/2016,#N/A,#N/A
12/7/2016,0.000102917,0.00112845
12/8/2016,#N/A,#N/A
12/9/2016,#N/A,#N/A
12/10/2016,#N/A,#N/A
12/11/2016,#N/A,#N/A
12/12/2016,#N/A,#N/A
12/13/2016,8.58E-05,0.001166
12/14/2016,#N/A,#N/A
12/15/2016,#N/A,#N/A
12/16/2016,#N/A,#N/A
12/17/2016,#N/A,#N/A
12/18/2016,#N/A,#N/A
12/19/2016,#N/A,#N/A
12/20/2016,7.17E-05,#N/A
12/21/2016,#N/A,#N/A
12/22/2016,#N/A,#N/A
12/23/2016,#N/A,#N/A
12/24/2016,#N/A,#N/A
12/25/2016,#N/A,#N/A
12/26/2016,#N/A,#N/A
12/27/2016,9.83E-05,#N/A
12/28/2016,#N/A,#N/A
12/29/2016,#N/A,#N/A
12/30/2016,#N/A,#N/A
12/31/2016,#N/A,#N/A
1/1/2017,#N/A,#N/A
1/2/2017,#N/A,#N/A
1/3/2017,#N/A,#N/A
1/4/2017,7.63E-05,#N/A
1/5/2017,#N/A,#N/A
1/6/2017,#N/A,#N/A
1/7/2017,#N/A,#N/A
1/8/2017,#N/A,#N/A
1/9/2017,#N/A,#N/A
1/10/2017,6.42E-05,0.001175
1/11/2017,#N/A,#N/A
1/12/2017,#N/A,#N/A
1/13/2017,#N/A,#N/A
1/14/2017,#N/A,#N/A
1/15/2017,#N/A,#N/A
1/16/2017,#N/A,#N/A
1/17/2017,5.08E-05,0.001147
1/18/2017,#N/A,#N/A
1/19/2017,#N/A,#N/A
1/20/2017,#N/A,#N/A
1/21/2017,#N/A,#N/A
1/22/2017,#N/A,#N/A
1/23/2017,#N/A,#N/A
1/24/2017,#N/A,#N/A
1/25/2017,8.75E-05,0.001127
1/26/2017,#N/A,#N/A
1/27/2017,#N/A,#N/A
1/28/2017,#N/A,#N/A
1/29/2017,#N/A,#N/A
1/30/2017,7.67E-05,0.00116525
1/31/2017,#N/A,#N/A
2/1/2017,#N/A,#N/A
2/2/2017,#N/A,#N/A
2/3/2017,#N/A,#N/A
2/4/2017,#N/A,#N/A
2/5/2017,6.58E-05,0.001186
2/6/2017,#N/A,#N/A
2/7/2017,#N/A,#N/A
2/8/2017,#N/A,#N/A
2/9/2017,#N/A,#N/A
2/10/2017,#N/A,#N/A
2/11/2017,#N/A,#N/A
2/12/2017,#N/A,#N/A
2/13/2017,#N/A,#N/A
2/14/2017,4.42E-05,0.00119
2/15/2017,#N/A,#N/A
2/16/2017,#N/A,#N/A
2/17/2017,#N/A,#N/A
2/18/2017,#N/A,#N/A
2/19/2017,#N/A,#N/A
2/20/2017,#N/A,#N/A
2/21/2017,4.67E-05,0.001155
2/22/2017,#N/A,#N/A
2/23/2017,#N/A,#N/A
2/24/2017,#N/A,#N/A
2/25/2017,#N/A,#N/A
2/26/2017,#N/A,#N/A
2/27/2017,#N/A,#N/A
2/28/2017,8.75E-05,0.000805
3/1/2017,#N/A,#N/A
3/2/2017,#N/A,#N/A
3/3/2017,#N/A,#N/A
3/4/2017,#N/A,#N/A
3/5/2017,#N/A,#N/A
3/6/2017,#N/A,#N/A
3/7/2017,9.00E-05,0.0010138
3/8/2017,#N/A,#N/A
3/9/2017,#N/A,#N/A
3/10/2017,#N/A,#N/A
3/11/2017,#N/A,#N/A
3/12/2017,#N/A,#N/A
3/13/2017,#N/A,0.0010461
3/14/2017,#N/A,#N/A
3/15/2017,#N/A,#N/A
3/16/2017,#N/A,#N/A
3/17/2017,#N/A,#N/A
3/18/2017,#N/A,#N/A
3/19/2017,#N/A,#N/A
3/20/2017,6.33E-05,0.0010591
3/21/2017,#N/A,#N/A
3/22/2017,#N/A,#N/A
3/23/2017,#N/A,#N/A
3/24/2017,#N/A,#N/A
3/25/2017,#N/A,#N/A
3/26/2017,#N/A,#N/A
3/27/2017,#N/A,#N/A
3/28/2017,#N/A,#N/A
3/29/2017,5.83E-05,0.0009824
3/30/2017,#N/A,#N/A
3/31/2017,#N/A,#N/A
4/1/2017,#N/A,#N/A
4/2/2017,#N/A,#N/A
4/3/2017,8.54E-05,0.0010093
4/4/2017,#N/A,#N/A
4/5/2017,#N/A,#N/A
