Date	pH	Cl-
20090101	5.5	3.00E-04
20090102	5.5	3.00E-20
20090103	5.5	3.00E-20
20090104	5.5	3.00E-20
20090105	5.5	3.00E-20
20090106	5.5	3.00E-20
20090107	5.5	3.00E-20
20090108	5.5	3.00E-20
20090109	5.5	3.00E-20
20090110	5.5	3.00E-20
20090111	5.5	3.00E-20
20090112	5.5	3.00E-20
20090113	5.5	3.00E-20
20090114	5.5	3.00E-20
20090115	5.5	3.00E-20
20090116	5.5	3.00E-20
20090117	5.5	3.00E-20
20090118	5.5	3.00E-20
20090119	5.5	3.00E-20
20090120	5.5	3.00E-20
20090121	5.5	3.00E-20
20090122	5.5	3.00E-20
20090123	5.5	3.00E-20
20090124	5.5	3.00E-20
20090125	5.5	3.00E-20
20090126	5.5	3.00E-20
20090127	5.5	3.00E-20
20090128	5.5	3.00E-20
20090129	5.5	3.00E-20
20090130	5.5	3.00E-20
20090131	5.5	3.00E-20
20090201	5.5	3.00E-20
20090202	5.5	3.00E-20
20090203	5.5	3.00E-20
20090204	5.5	3.00E-20
20090205	5.5	3.00E-20
20090206	5.5	3.00E-20
20090207	5.5	3.00E-20
20090208	5.5	3.00E-20
20090209	5.5	3.00E-20
20090210	5.5	3.00E-20
20090211	5.5	3.00E-20
20090212	5.5	3.00E-20
20090213	5.5	3.00E-20
20090214	5.5	3.00E-20
20090215	5.5	3.00E-20
20090216	5.5	3.00E-20
20090217	5.5	3.00E-20
20090218	5.5	3.00E-20
20090219	5.5	3.00E-20
20090220	5.5	3.00E-20
20090221	5.5	3.00E-20
20090222	5.5	3.00E-20
20090223	5.5	3.00E-20
20090224	5.5	3.00E-20
20090225	5.5	3.00E-20
20090226	5.5	3.00E-20
20090227	5.5	3.00E-20
20090228	5.5	3.00E-20
20090301	5.5	3.00E-20
20090302	5.5	3.00E-20
20090303	5.5	3.00E-20
20090304	5.5	3.00E-20
20090305	5.5	3.00E-20
20090306	5.5	3.00E-20
20090307	5.5	3.00E-20
20090308	5.5	3.00E-20
20090309	5.5	3.00E-20
20090310	5.5	3.00E-20
20090311	5.5	3.00E-20
20090312	5.5	3.00E-20
20090313	5.5	3.00E-20
20090314	5.5	3.00E-20
20090315	5.5	3.00E-20
20090316	5.5	3.00E-20
20090317	5.5	3.00E-20
20090318	5.5	3.00E-20
20090319	5.5	3.00E-20
20090320	5.5	3.00E-20
20090321	5.5	3.00E-20
20090322	5.5	3.00E-20
20090323	5.5	3.00E-20
20090324	5.5	3.00E-20
20090325	5.5	3.00E-20
20090326	5.5	3.00E-20
20090327	5.5	3.00E-20
20090328	5.5	3.00E-20
20090329	5.5	3.00E-20
20090330	5.5	3.00E-20
20090331	5.5	3.00E-20
20090401	5.5	3.00E-20
20090402	5.5	3.00E-20
20090403	5.5	3.00E-20
20090404	5.5	3.00E-20
20090405	5.5	3.00E-20
20090406	5.5	3.00E-20
20090407	5.5	3.00E-20
20090408	5.5	3.00E-20
20090409	5.5	3.00E-20
20090410	5.5	3.00E-20
20090411	5.5	3.00E-20
20090412	5.5	3.00E-20
20090413	5.5	3.00E-20
20090414	5.5	3.00E-20
20090415	5.5	3.00E-20
20090416	5.5	3.00E-20
20090417	5.5	3.00E-20
20090418	5.5	3.00E-20
20090419	5.5	3.00E-20
20090420	5.5	3.00E-20
20090421	5.5	3.00E-20
20090422	5.5	3.00E-20
20090423	5.5	3.00E-20
20090424	5.5	3.00E-20
20090425	5.5	3.00E-20
20090426	5.5	3.00E-20
20090427	5.5	3.00E-20
20090428	5.5	3.00E-20
20090429	5.5	3.00E-20
20090430	5.5	3.00E-20
20090501	5.5	3.00E-20
20090502	5.5	3.00E-20
20090503	5.5	3.00E-20
20090504	5.5	3.00E-20
20090505	5.5	3.00E-20
20090506	5.5	3.00E-20
20090507	5.5	3.00E-20
20090508	5.5	3.00E-20
20090509	5.5	3.00E-20
20090510	5.5	3.00E-20
20090511	5.5	3.00E-20
20090512	5.5	3.00E-20
20090513	5.5	3.00E-20
20090514	5.5	3.00E-20
20090515	5.5	3.00E-20
20090516	5.5	3.00E-20
20090517	5.5	3.00E-20
20090518	5.5	3.00E-20
20090519	5.5	3.00E-20
20090520	5.5	3.00E-20
20090521	5.5	3.00E-20
20090522	5.5	3.00E-20
20090523	5.5	3.00E-20
20090524	5.5	3.00E-20
20090525	5.5	3.00E-20
20090526	5.5	3.00E-20
20090527	5.5	3.00E-20
20090528	5.5	3.00E-20
20090529	5.5	3.00E-20
20090530	5.5	3.00E-20
20090531	5.5	3.00E-20
20090601	5.5	3.00E-20
20090602	5.5	3.00E-20
20090603	5.5	3.00E-20
20090604	5.5	3.00E-20
20090605	5.5	3.00E-20
20090606	5.5	3.00E-20
20090607	5.5	3.00E-20
20090608	5.5	3.00E-20
20090609	5.5	3.00E-20
20090610	5.5	3.00E-20
20090611	5.5	3.00E-20
20090612	5.5	3.00E-20
20090613	5.5	3.00E-20
20090614	5.5	3.00E-20
20090615	5.5	3.00E-20
20090616	5.5	3.00E-20
20090617	5.5	3.00E-20
20090618	5.5	3.00E-20
20090619	5.5	3.00E-20
20090620	5.5	3.00E-20
20090621	5.5	3.00E-20
20090622	5.5	3.00E-20
20090623	5.5	3.00E-20
20090624	5.5	3.00E-20
